Longitude,Latitude,RSSI
-8.511007,51.891672,-84
-8.511007,51.891672,-81
-8.511007,51.891672,-81
-8.511007,51.891672,-84
-8.511007,51.891672,-84
-8.511007,51.891672,-84
-8.511007,51.891672,-84
-8.511007,51.891672,-86
-8.511007,51.891672,-86
-8.511007,51.891672,-86
-8.511007,51.891672,-88
-8.511007,51.891672,-88
-8.511007,51.891672,-88
-8.511007,51.891672,-88
-8.511007,51.891672,-88
-8.511007,51.891672,-90
-8.511007,51.891672,-90
-8.511007,51.891672,-90
-8.511007,51.891672,-90
-8.511007,51.891672,-90
-8.511007,51.891672,-87
-8.511007,51.891672,-89
-8.511007,51.891672,-89
-8.511007,51.891672,-89
-8.511007,51.891672,-87
-8.511007,51.891672,-89
-8.511007,51.891672,-89
-8.511007,51.891672,-89
-8.511007,51.891672,-89
-8.511007,51.891672,-89
-8.511007,51.891672,-89
-8.511007,51.891672,-87
-8.511007,51.891672,-87
-8.511007,51.891672,-87
-8.511007,51.891672,-87
-8.511007,51.891672,-87
-8.511007,51.891672,-84
-8.511007,51.891672,-88
-8.511007,51.891672,-88
-8.511007,51.891672,-83
-8.511007,51.891672,-85
-8.511007,51.891672,-83
-8.511007,51.891672,-85
-8.511007,51.891672,-83
-8.511007,51.891672,-85
-8.511007,51.891672,-83
-8.511007,51.891672,-85
-8.511007,51.891672,-83
-8.511007,51.891672,-83
-8.511007,51.891672,-81
-8.511007,51.891672,-83
-8.511007,51.891672,-79
-8.511007,51.891672,-71
-8.511007,51.891672,-75
-8.511007,51.891672,-77
-8.511007,51.891672,
-8.511007,51.891672,
-8.511007,51.891672,
-8.511007,51.891672,
-8.511007,51.891672,
-8.511007,51.891672,
-8.511007,51.891672,
-8.509588,51.891445,
-8.509588,51.891445,-83
-8.509588,51.891445,-79
-8.509588,51.891445,-83
-8.509588,51.891445,-79
-8.509588,51.891445,-74
-8.509588,51.891445,-71
-8.509588,51.891445,
-8.509588,51.891445,-78
-8.509588,51.891445,-78
-8.509588,51.891445,-82
-8.509588,51.891445,-84
-8.509588,51.891445,-84
-8.509588,51.891445,-81
-8.509588,51.891445,-81
-8.509588,51.891445,
-8.509588,51.891445,-86
-8.509588,51.891445,-86
-8.509588,51.891445,-86
-8.509588,51.891445,-86
-8.509588,51.891445,-89
-8.509588,51.891445,-89
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,
-8.509588,51.891445,-94
-8.509588,51.891445,-94
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-87
-8.509588,51.891445,-94
-8.509588,51.891445,-94
-8.509588,51.891445,-94
-8.509588,51.891445,-94
-8.509588,51.891445,-89
-8.509588,51.891445,-89
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-88
-8.509588,51.891445,-86
-8.509588,51.891445,
-8.509588,51.891445,-85
-8.509588,51.891445,-84
-8.509588,51.891445,-84
-8.509588,51.891445,-87
-8.509588,51.891445,-89
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-91
-8.509588,51.891445,-89
-8.509588,51.891445,
-8.509588,51.891445,-87
-8.509588,51.891445,
-8.509588,51.891445,-89
-8.509588,51.891445,-89
-8.509588,51.891445,-84
-8.509588,51.891445,-86
-8.509588,51.891445,-86
-8.509588,51.891445,-91
-8.509588,51.891445,-88
-8.509588,51.891445,-88
-8.509588,51.891445,-90
-8.509588,51.891445,-88
-8.509588,51.891445,-88
-8.509588,51.891445,-88
-8.509588,51.891445,-90
-8.509588,51.891445,-86
-8.509588,51.891445,-83
-8.509588,51.891445,-83
-8.50818,51.891688,-83
-8.50818,51.891688,-83
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-87
-8.50818,51.891688,-87
-8.50818,51.891688,-87
